"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bulgaria","BGR","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0147","16.69722","17.21601","17.91437","16.82985","17.69108","16.81736","17.13133","16.74773","16.22654","15.71211","15.93711","16.07127","17.3139","17.49009","17.46208","17.41818","17.63101","17.73363","","17.61018","","",
"Bahrain","BHR","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","21.33158","24.16193","22.94624","21.94569","22.73333","20.72752","20.39446","19.63372","18.80132","19.38576","18.35417","18.41065","19.18949","20.07353","20.12663","20.99238","21.92193","20.92187","21.53849","21.6188","20.80254","20.82487","20.45503","","","","","","","","","","","","","","","","12.1159","11.76839","11.85094","11.66884","11.73164","12.05837","12.15924","",
"Bahamas, The","BHS","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","45.46252","42.84154","","","26.72873","24.50309","22.53211","","","26.14286","26.05393","28.39878","21.00579","19.53355","21.0852","18.5897","","","","","","","","21.08982","22.34007","","","","14.0399","","","16.83243","","16.77674","","15.38373","15.33967","15.78783","12.99478","14.1453","","","","","","19.02855","","",
"Bosnia and Herzegovina","BIH","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.09921","16.82054","17.16401","17.28654","17.19917","",
"Belarus","BLR","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.46535","20.0981","19.58642","19.76087","","","19.26959","19.53285","18.2068","17.43863","16.66112","15.93862","15.44266","16.03553","16.02405","15.96701","15.32719","15.14091","14.96616","14.96367","14.90909","15.36216","16.47603","17.57007","18.33759","18.80255","",
"Belize","BLZ","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5","23.31494","22.81694","","20.75066","23.23186","23.62341","22.93853","22.88272","22.61592","22.63613","22.24335","21.89921","21.56275","22.57321","22.39466","20.43642","20.50666","19.58631","",
"Bermuda","BMU","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","23.41935","21.34986","20.89831","20.7659","21.28923","","17.68449","20.26959","22.75191","22.84733","19.01923","18.03988","17.85714","17.5","17.46926","","","","","","","","","","12.87689","","12.30753","","","","9.25187","8.95984999999999","8.90328","8.58929","8.33625","8.25043999999999","","","","7.35691","8.94444","9.82751","7.19372","6.72131","10.4196","","","",
"Bolivia","BOL","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.72372","","","","","","","","","","","","15.88493","15.58669","17.69617","17.9444","18.10837","18.35972","18.76043","",
"Brazil","BRA","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","28.01019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.94511","24.79699","22.97087","22.35331","21.56753","21.38676","21.04365","","23.85828","23.02467","22.64411","22.16609","21.28507","20.51712","21.22749","20.91814","20.58529","20.31899","","",
"Barbados","BRB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","27.97392","27.38779","","","","20.33311","23.46773","21.22519","","","","18.38658","17.80025","","17.16806","","","","","","","17.77204","17.56999","17.03586","15.90347","15.80411","15.76766","15.14568","","14.54218","13.45642","14.1425","13.00746","13.08663","","","12.71532","13.40321","13.349","14.09682","",
"Brunei Darussalam","BRN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","23.47983","21.11807","20.73884","20.15193","19.41098","19.03224","18.35855","18.27825","16.55962","18.06518","18.26032","17.59833","16.4753","16.00146","14.74603","16.08083","16.62157","","13.99853","14.02604","","15.30987","15.53378","15.54573","15.24892","14.59371","","","14.01143","13.96313","13.66667","13.63795","12.69287","12.24954","10.88013","10.11697","12.51317","12.67144","12.55216","11.94999","11.34882","11.33566","10.58767","10.15195","10.25924","10.01661","10.19678","10.18252","",
"Bhutan","BTN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","20.73165","20.2256","22.13889","","23.81041","","","24.34799","24.07248","25.24861","","","35.62286","35.45159","38.53351","","37.46026","37.1588","36.57634","","","28.62796","","30.53954","","35.49207","","","39.27845","41.70401","41.147","39.48254","","","","31.05151","29.18213","","29.87891","27.70221","25.89606","25.37845","23.9859","28.67592","40.31205","40.00443","38.03778","34.56294","",
"Botswana","BWA","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","36.4844","32.62978","33.10174","35.40067","34.03709","33.14135","32.02958","30.54283","31.34217","32.2155","32.33898","31.64659","32.43714","31.18365","30.87607","32.03553","32.21477","32.2979","32.24975","32.29417","31.65654","30.38869","28.81411","27.29929","26.43662","25.49106","","28.13585","27.56744","26.98536","26.72295","26.63306","26.40132","26.059","25.84666","25.55037","25.39325","25.22265","25.08494","25.51489","","","23.41584","22.61822","","","","","",
"Central African Republic","CAF","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","63.6922","65.94065","65.42896","65.01622","68.3403","66.51607","66.8992899999999","64.6626","61.83406","60.70299","59.6063","60.58007","62.1258","68.28585","","65.6329","60.33869","62.77055","70.38736","90.38285","77.02522","","","","","","","","","","","","","","88.62691","","","100.23649","94.61257","84.3202699999999","81.3105099999999","80.11576","","","","83.41195","","",
"Canada","CAN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","15.93865","15.82434","16.973","16.70163","16.70203","16.05084","15.60032","15.68562","15.35704","15.30451","15.96673","15.85369","16.22553","16.47861","","17.95005","17.25853","17.41596","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","14.92512","","","","","","","","","","","","","13.38308","13.43428","13.73243","13.65073","13.64188","13.5151","13.49563","13.28895","13.28175","13.56578","13.83095","13.58667","13.1291","12.80857","12.54593","12.07044","11.83583","11.70739","12.36341","12.37093","12.73296","12.77194","12.85957","12.96013","12.94068","",
"Switzerland","CHE","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7542","10.44588","10.10462","","10.13562","","",
"Channel Islands","CHI","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.23218","31.98306","32.22683","","32.92755","34.0928","27.29501","26.05133","25.73597","25.11168","24.64024","23.00957","23.41154","21.97403","21.15991","19.52587","18.65062","18.3778","","","",
"China","CHN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","28.86952","29.14729","27.37778","28.53388","29.00278","29.29086","29.01038","28.37115","27.97091","27.98316","27.24542","26.59745","25.68556","25.38248","25.03049","25.24791","24.86643","24.35071","23.62223","22.78694","22.31881","21.93084","21.98751","22.07777","22.37416","22.85133","23.29628","23.73693","24.15677","","","22.20572","","21.05303","","","18.25192","17.68203","17.55452","17.21563","16.84376","16.78841","16.84872","16.85343","16.23079","16.29441","16.54936","16.59383","",
"Cote d'Ivoire","CIV","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","43.03463","45.01925","46.14843","43.57135","46.07562","44.53024","43.80173","43.15366","43.04085","41.06876","38.77403","38.72203","36.44536","36.26274","35.78158","36.48968","36.25406","36.05055","36.24674","37.10362","36.28911","36.27673","37.06852","35.64816","39.14086","44.64832","41.01421","","41.66097","42.71803","44.97398","46.07557","43.88046","42.35665","","","46.10896","41.00376","41.8902","42.12742","","48.84621","41.71605","41.00117","42.52673","42.0505","42.50102","42.42645","",
"Cameroon","CMR","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","47.69017","48.54799","48.83465","51.42933","51.62818","50.56058","49.78232","50.0225","50.47961","51.52335","51.53402","50.50649","48.61283","50.39807","50.94533","50.75656","50.24782","51.30844","50.50546","51.484","51.10971","47.86434","","","46.29539","","48.78088","51.78101","51.86201","","62.72134","60.80479","57.0638","53.90314","47.8128","44.69425","44.43054","46.03527","46.31569","45.79474","45.43773","45.56349","","44.19526","41.46571","42.73541","44.61321","",
"Congo, Dem. Rep.","COD","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","42.56625","43.50178","40.90431","","","","","","","","","","","41.53049","","","36.62732","","","","","40.20943","41.53712","44.08473","44.7528","","","40.43316","26.01515","","","34.33504","","","","","38.29543","39.02034","37.32547","37.0131","37.37094","34.74758","37.06925","35.31936","33.19793","","","",
"Congo, Rep.","COG","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","61.85249","64.19569","63.43105","63.04043","60.79438","58.72304","","51.79566","52.51186","55.89872","54.36627","58.1442","57.69873","56.79136","60.70168","61.43383","63.77437","66.09692","62.99504","64.42506","65.17788","63.20272","69.05732","73.4182299999999","82.16833","72.74795","72.91752","63.95559","61.22946","60.48057","59.49181","56.20777","65.17102","82.79541","","54.79663","58.48011","51.80477","64.3806199999999","49.14568","47.09289","44.442","","","","","","",
"Colombia","COL","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","38.20769","38.3984","34.56653","33.91222","32.8813","32.07068","32.25021","32.37915","32.50871","31.14374","30.56291","30.62569","29.83356","29.73447","29.60797","30.38614","29.44692","29.78139","29.84056","29.89499","29.91953","30.10601","27.86149","27.6851","25.85626","24.8125","25.35665","","23.29196","24.02045","26.45241","26.01713","26.81989","","27.95172","28.34839","28.18322","29.51974","29.3957","29.30908","28.13107","27.57965","25.04796","24.98364","24.28676","24.23937","24.31808","23.60132","",
"Comoros","COM","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","41.68144","39.34343","37.6848","41.86643","","47.37831","","","","","46.2144","","38.01422","38.52209","31.17927","34.76276","34.51549","36.4305","37.59977","35.69737","36.50326","39.90338","41.68662","44.81117","","52.07361","","","34.77068","36.83793","","39.20075","35.85763","34.98787","","","","30.15332","","","27.74673","","27.80796","","","","18.90138","",
"Cabo Verde","CPV","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","38.23014","35.37616","","46.27715","42.31481","52.12711","45.95586","42.13739","37.90271","41.62679","40.10237","","","38.58201","","38.78701","33.62702","33.15381","33.00202","33.41272","36.83175","","","29.42153","","","","28.51103","28.66264","28.72602","28.20162","28.77571","27.931","26.86589","26.01411","25.36885","24.85836","24.36111","23.94141","23.64041","23.25538","22.97124","22.92555","22.60472","21.94779","21.4778","21.08156","",
"Costa Rica","CRI","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","29.81041","29.52923","29.07381","28.89498","29.09919","29.06935","28.20913","","","26.72512","27.68133","33.02539","31.63091","31.9309","33.78534","31.48334","32.27696","31.48959","31.9293","32.28807","31.88081","32.19896","32.29903","32.44083","31.37283","30.60893","29.54329","28.61276","27.52934","26.82207","24.94075","24.31442","22.59585","","22.34571","21.34285","19.70728","19.494","18.97453","18.40435","17.8517","17.34208","","13.34199","13.22687","12.6763","11.97865","","",
"Caribbean small states","CSS","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","35.34396","35.88078","33.89999","33.85802","33.58048","32.83946","32.31804","31.43504","31.84042","32.74129","31.12398","30.68855","29.99146","28.07274","28.21329","27.95393","27.45465","27.81906","27.36447","27.27497","27.4457","27.43313","27.26245","26.59765","26.88071","26.73097","26.33222","25.94","25.1493","24.04793","23.83579","23.61299","23.42873","22.93361","22.40113","21.92582","21.13791","20.1255","20.55957","19.9416","19.42661","19.50143","19.12902","18.73414","18.61882","18.54437","18.59734","18.56076","",
"Cuba","CUB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","27.05996","28.5622","28.82339","26.1997","24.24474","23.17937","21.61838","19.63922","18.75056","17.91887","17.47407","16.96203","16.3521","15.37914","14.75258","13.96964","13.29788","12.68259","12.29152","12.319","12.51003","12.34485","12.37419","12.90747","13.57722","11.86058","11.7956","11.83972","11.7748","11.49998","10.73922","","10.68011","10.24083","10.30837","9.97784","9.64855","9.61042","9.43833","9.12865","9.11032999999999","9.05528","9.06109","9.06511","8.89917","8.74431","8.82731","",
"Curacao","CUW","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","25.38636","","","18.83036","","","","","","","","","","","","","","","","","","","15.45933","14.49367","15.16667","14.9125","","13.39044","12.80632","12.1014","11.06269","12.09061","","","12.07576","13.31023","13.0363","","","","","15.74725",
"Cyprus","CYP","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","30.33333","28.90849","27.99215","27.65737","27.26131","26.9405","25.59686","23.77845","23.99867","22.99045","22.20748","20.92374","20.80054","21.0054","21.51726","22.77356","22.77666","21.96193","21.72401","21.37772","20.51548","19.31041","18.86012","18.78096","18.39116","18.73117","15.41195","","18.26784","17.72506","17.19454","19.02568","18.94185","17.60724","17.72706","16.46264","15.63024","14.75299","14.2405","13.75307","13.44153","13.77462","13.59542","13.39274","11.91513","","","",
"Czech Republic","CZE","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","27.02685","27.02718","27.02701","27.02752","27.02692","27.02756","27.02749","29.41132","29.41173","","29.41175","29.4118","29.41233","29.41189","29.41146","29.41227","29.4121","29.41218","25.64486","24.48745","23.09835","22.13338","19.22587","19.64303","20.18596","19.10252","","17.67153","18.28958","16.88543","17.71026","17.3543","16.79405","16.41274","16.24551","15.65768","18.7278","18.47503","18.50084","18.70713","18.82126","18.97433","18.93175","","","","","",
"Germany","DEU","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.63115","16.22708","17.45831","17.04431","17.19019","17.44193","17.02284","15.28331","14.76453","14.29354","14.04776","14.19004","14.12233","13.96375","13.62843","13.49743","13.00225","12.68383","11.82415","11.71402","11.58027","12.29942","12.22305","12.14626","","",
"Djibouti","DJI","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","35.67778","30.5614","37.77184","37.22271","37.0757","36.43284","","","39.44413","42.29722","40.19332","41.07826","48.30496","44.04637","44.09589","","43.98055","44.03664","43.87206","44.13221","42.73046","43.23927","42.84174","41.93774","39.75482","36.04279","33.66423","38.76771","39.5383","","","","","34.54823","","33.63267","35.48341","34.0344","34.14014","","35.23512","34.93245","34.21598","33.23979","33.02204","31.09517","30.42105","",
"Dominica","DMA","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","34.7877","38.05357","37.92918","","38.0303","","","","","","","","","","","","","","29.23918","29.27536","","","","","","","19.80921","19.55814","18.52512","18.64856","19.01818","19.02119","18.19075","17.23791","17.32064","16.738","16.13922","16.01969","15.92564","15.78295","14.84121","14.25","14.00558","13.07679","","",
"Denmark","DNK","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","11.92714","11.59069","11.40025","11.65544","11.39385","11.27789","","11.47412","9.83742","9.92763","9.9358","","","9.90887","10.03223","10.12217","9.93301","","","","","","","","","","","","","10.73738","","","","",
"Dominican Republic","DOM","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","55.38453","55.71323","54.77386","52.9007","51.56871","50.81095","","","","","","","46.3499","","43.44283","","","","","","","","","","","","","30.66259","31.18106","31.03273","","32.60835","","25.23843","24.32793","22.51085","23.88067","19.62249","25.18972","25.53138","25.45855","23.6279","23.49304","20.56358","18.29098","18.52102","","",
"Algeria","DZA","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","40.00059","","","","41.96422","40.94596","39.50841","37.58111","36.76106","35.80454","35.24855","33.74068","32.32614","30.56192","29.63073","27.84273","27.28204","27.17892","27.95506","27.78717","27.69468","28.1692","27.41847","27.36828","27.27589","27.32222","27.34591","","28.19076","28.3962","27.84252","27.59291","27.53299","26.51107","25.43721","24.48384","23.93164","23.23052","22.99987","23.32803","23.26903","23.15942","23.26105","23.66406","23.83613","24.2355","24.22505","",
"East Asia & Pacific (excluding high income)","EAP","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","29.47129","29.68612","28.31784","29.1752","29.44105","29.69507","29.48403","29.58833","29.33094","29.24435","28.55847","27.94851","27.13216","26.54749","26.05732","25.99324","25.56334","25.16091","24.58066","23.99743","23.52022","23.4074","23.49308","23.55996","23.77143","23.97606","24.1812","24.41225","24.60759","24.47153","23.92666","23.2362","22.56437","21.98037","20.99538","20.19631","19.61292","19.10887","19.22299","18.76528","18.41712","18.34726","18.32768","17.81788","17.50745","17.27148","17.02812","17.54342","",
"Early-demographic dividend","EAR","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","35.9412","35.78295","35.91022","36.55176","36.38773","36.18327","36.17091","36.86665","36.79291","36.60478","36.49118","36.14218","35.71973","34.45788","33.98332","33.52511","33.156","33.12099","33.19538","32.60608","32.80355","32.69963","32.7262","32.60964","32.62629","32.36953","32.40395","32.07343","31.90244","31.80871","31.84945","31.85084","31.59529","31.72716","31.70817","31.82639","31.49027","31.29229","31.29997","30.64842","29.93877","29.17733","28.93572","27.57894","27.43655","26.98565","27.76426","28.22266","",
